P1,P1_House,Aspect,P2,P2_House,EventType,Type,Date,Time,Timezone,Age,Pos1_Deg,Pos1_Sign,Pos1_Dir,Pos2_Deg,Pos2_Sign,Pos2_Dir
Neptune,9,Sextile,Sun,6,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,27.117,Aquarius,Dir,26.483,Sagittarius,Dir
Pluto,6,Semi-Square,Jupiter,8,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,4.917,Capricorn,Dir,19.533,Aquarius,Dir
Chiron,6,Trine,Saturn,10,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,12.667,Sagittarius,Dir,13.533,Aries,Dir
Chiron,6,Semi-Square,Neptune,7,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,12.667,Sagittarius,Dir,28.467,Capricorn,Dir
NorthNode,4,Opposition,Saturn,10,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,13.1,Libra,Dir,13.533,Aries,Dir
MC,10,Sextile,Jupiter,8,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,20.15,Aries,Dir,19.533,Aquarius,Dir
Chiron,10,Sextile,Mars,8,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,22.983,Aries,Dir,22.2,Aquarius,Dir
Chiron,10,Sesquiquadrate,Pluto,6,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,22.983,Aries,Dir,7.217,Sagittarius,Dir
NorthNode,9,Semi-Square,Sun,7,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,10.533,Pisces,Dir,25.15,Capricorn,Dir
Jupiter,1,Sextile,Moon,3,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,17.383,Cancer,Dir,16.767,Virgo,Dir
Neptune,10,Trine,ASC,2,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,0.117,Aries,Dir,29.25,Cancer,Dir
Uranus,11,Square,Neptune,9,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,27.45,Taurus,Dir,27.117,Aquarius,Dir
Uranus,11,Sesquiquadrate,NorthNode,4,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,27.45,Taurus,Dir,13.1,Libra,Dir
Pluto,8,Semi-Square,Jupiter,9,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,3.683,Aquarius,Dir,18.2,Pisces,Dir
Chiron,10,Square,Mercury,7,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,22.983,Aries,Dir,22.583,Capricorn,Dir
NorthNode,9,Semi-Square,Sun,7,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,10.533,Pisces,Dir,25.15,Capricorn,Dir
Moon,3,Trine,Sun,6,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,27.45,Leo,Dir,26.483,Sagittarius,Dir
Moon,3,Quincunx,Venus,7,Begin,Sp-Sp,2026-02-01,00:00:00,AWST,28.122,27.45,Leo,Dir,26.7,Capricorn,Dir
Mercury,6,Sesquiquadrate,Moon,2,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,3.633,Capricorn,Dir,18.1,Leo,Dir
Saturn,10,Trine,ASC,2,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,28.6,Pisces,Dir,29.25,Cancer,Dir
Uranus,11,Square,Moon,3,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,27.45,Taurus,Dir,27.45,Leo,Dir
Uranus,11,Trine,Venus,7,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,27.45,Taurus,Dir,26.7,Capricorn,Dir
Neptune,10,Sextile,Neptune,8,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,0.117,Aries,Dir,29.483,Capricorn,Dir
Uranus,11,Square,Moon,3,Exact,Tr-Sp,2026-02-01,01:17:24,AWST,28.122,27.45,Taurus,Rx,27.45,Leo,Dir
Moon,3,Quincunx,Neptune,7,Enter,Sp-Na,2026-02-01,03:18:39,AWST,28.122,27.467,Leo,Dir,28.467,Capricorn,Dir
Moon,1,Trine,Saturn,10,Void,Tr-Tr,2026-02-01,05:51:47,AWST,28.122,28.617,Cancer,Dir,28.617,Pisces,Dir
Moon,2,Conjunction,Leo,2,SignIngress,Tr-Tr,2026-02-01,08:08:52,AWST,28.123,0.0,Leo,Dir,0.0,Leo,Dir
Moon,3,Trine,Sun,6,Leave,Sp-Na,2026-02-02,02:24:32,AWST,28.125,27.483,Leo,Dir,26.483,Sagittarius,Dir
Jupiter,1,Sesquiquadrate,Venus,9,Enter,Tr-Sa,2026-02-02,16:25:32,AWST,28.126,17.2,Cancer,Rx,1.2,Pisces,Dir
Jupiter,1,Trine,Jupiter,9,Leave,Tr-Sa,2026-02-02,17:27:42,AWST,28.127,17.2,Cancer,Rx,18.2,Pisces,Rx
Moon,3,Sesquiquadrate,Saturn,10,Enter,Sp-Na,2026-02-03,05:42:23,AWST,28.128,27.533,Leo,Dir,13.533,Aries,Dir
Moon,3,Square,Uranus,11,Void,Tr-Tr,2026-02-03,06:55:06,AWST,28.128,27.45,Leo,Dir,27.45,Taurus,Dir
Moon,3,Conjunction,Virgo,3,SignIngress,Tr-Tr,2026-02-03,11:21:10,AWST,28.129,0.0,Virgo,Dir,0.0,Virgo,Dir
Uranus,11,Station,,,Direct,Tr,2026-02-04,10:33:06,AWST,28.131,27.45,Taurus,Dir,,,
Moon,4,Opposition,Saturn,10,Void,Tr-Tr,2026-02-05,15:49:08,AWST,28.135,29.067,Virgo,Dir,29.067,Pisces,Dir
Neptune,10,Trine,ASC,2,Leave,Tr-Sp,2026-02-05,16:32:39,AWST,28.135,0.25,Aries,Dir,29.25,Cancer,Dir
Moon,4,Conjunction,Libra,4,SignIngress,Tr-Tr,2026-02-05,17:32:28,AWST,28.135,0.0,Libra,Dir,0.0,Libra,Dir
Saturn,10,Sextile,Mars,8,Enter,Tr-Na,2026-02-05,20:51:13,AWST,28.135,29.083,Pisces,Dir,0.083,Aquarius,Dir
Jupiter,1,Trine,Chiron,5,Exact,Tr-Sp,2026-02-06,02:51:40,AWST,28.136,16.85,Cancer,Rx,16.85,Scorpio,Dir
Jupiter,1,Sextile,Moon,3,Exact,Tr-Sa,2026-02-06,18:21:05,AWST,28.138,16.783,Cancer,Rx,16.783,Virgo,Dir
Saturn,10,Trine,ASC,2,Exact,Tr-Sp,2026-02-07,12:23:04,AWST,28.140,29.267,Pisces,Dir,29.267,Cancer,Dir
Moon,5,Trine,Venus,9,Void,Tr-Tr,2026-02-07,19:59:24,AWST,28.141,26.317,Libra,Dir,26.317,Aquarius,Dir
Moon,3,Quincunx,Venus,7,Leave,Sp-Sp,2026-02-07,21:44:33,AWST,28.141,27.683,Leo,Dir,26.683,Capricorn,Rx
NorthNode,9,Semi-Square,Sun,7,Exact,Tr-Sp,2026-02-08,01:14:21,AWST,28.141,10.167,Pisces,Rx,25.167,Capricorn,Dir
NorthNode,9,Semi-Square,Sun,7,Exact,Tr-Sa,2026-02-08,01:14:21,AWST,28.141,10.167,Pisces,Rx,25.167,Capricorn,Dir
Moon,5,Conjunction,Scorpio,5,SignIngress,Tr-Tr,2026-02-08,03:13:02,AWST,28.141,0.0,Scorpio,Dir,0.0,Scorpio,Dir
Saturn,10,Conjunction,Neptune,10,Enter,Tr-Tr,2026-02-08,04:29:59,AWST,28.141,29.333,Pisces,Dir,0.333,Aries,Dir
Uranus,11,Trine,Neptune,7,Enter,Tr-Na,2026-02-08,15:13:18,AWST,28.143,27.467,Taurus,Dir,28.467,Capricorn,Dir
Chiron,10,Sesquiquadrate,Pluto,6,Leave,Tr-Sp,2026-02-08,22:48:30,AWST,28.144,23.217,Aries,Dir,7.217,Sagittarius,Dir
Chiron,10,Sextile,Mars,8,Leave,Tr-Sp,2026-02-09,01:10:01,AWST,28.144,23.217,Aries,Dir,22.217,Aquarius,Dir
Saturn,10,Sextile,Neptune,7,Leave,Tr-Na,2026-02-09,09:57:08,AWST,28.145,29.467,Pisces,Dir,28.467,Capricorn,Dir
Saturn,10,Sextile,Neptune,8,Exact,Tr-Sp,2026-02-09,14:01:43,AWST,28.145,29.483,Pisces,Dir,29.483,Capricorn,Dir
Moon,5,Square,Venus,9,Void,Tr-Tr,2026-02-10,15:00:55,AWST,28.148,29.817,Scorpio,Dir,29.817,Aquarius,Dir
Moon,5,Conjunction,Sagittarius,5,SignIngress,Tr-Tr,2026-02-10,15:21:46,AWST,28.148,0.0,Sagittarius,Dir,0.0,Sagittarius,Dir
Jupiter,1,Sesquiquadrate,Venus,9,Exact,Tr-Sa,2026-02-12,17:12:45,AWST,28.154,16.233,Cancer,Rx,1.233,Pisces,Dir
Neptune,10,Sextile,Neptune,8,Leave,Tr-Sp,2026-02-12,22:49:12,AWST,28.155,0.483,Aries,Dir,29.483,Capricorn,Dir
Moon,6,Square,Saturn,10,Void,Tr-Tr,2026-02-13,03:28:41,AWST,28.155,29.867,Sagittarius,Dir,29.867,Pisces,Dir
Moon,6,Conjunction,Capricorn,6,SignIngress,Tr-Tr,2026-02-13,03:44:20,AWST,28.155,0.0,Capricorn,Dir,0.0,Capricorn,Dir
Uranus,11,Quincunx,Sun,6,Leave,Tr-Na,2026-02-13,22:13:23,AWST,28.157,27.483,Taurus,Dir,26.483,Sagittarius,Dir
Saturn,10,Conjunction,Aries,10,SignIngress,Tr-Na,2026-02-14,08:11:36,AWST,28.158,0.0,Aries,Dir,0.0,Aries,Dir
Saturn,10,Sextile,Mars,8,Exact,Tr-Na,2026-02-15,05:20:41,AWST,28.161,0.083,Aries,Dir,0.083,Aquarius,Dir
Moon,7,Trine,Uranus,11,Void,Tr-Tr,2026-02-15,09:31:22,AWST,28.161,27.5,Capricorn,Dir,27.5,Taurus,Dir
Moon,8,Conjunction,Aquarius,8,SignIngress,Tr-Tr,2026-02-15,14:16:35,AWST,28.162,0.0,Aquarius,Dir,0.0,Aquarius,Dir
Saturn,10,Trine,ASC,2,Leave,Tr-Sp,2026-02-16,22:34:29,AWST,28.165,0.283,Aries,Dir,29.283,Cancer,Dir
Uranus,11,Semi-Square,Saturn,10,Enter,Tr-Na,2026-02-17,16:48:55,AWST,28.168,27.533,Taurus,Dir,13.533,Aries,Dir
Jupiter,1,Trine,Chiron,5,Leave,Tr-Sp,2026-02-17,17:33:18,AWST,28.168,15.85,Cancer,Rx,16.85,Scorpio,Dir
Moon,9,Conjunction,Sun,9,Void,Tr-Tr,2026-02-17,20:01:05,AWST,28.168,28.817,Aquarius,Dir,28.817,Aquarius,Dir
Moon,9,Conjunction,Pisces,9,SignIngress,Tr-Tr,2026-02-17,22:09:02,AWST,28.168,0.0,Pisces,Dir,0.0,Pisces,Dir
Jupiter,1,Sextile,Moon,3,Leave,Tr-Sa,2026-02-18,05:50:43,AWST,28.169,15.817,Cancer,Rx,16.817,Virgo,Dir
Saturn,10,Sextile,Neptune,8,Leave,Tr-Sp,2026-02-18,16:47:00,AWST,28.170,0.483,Aries,Dir,29.483,Capricorn,Dir
Pluto,8,Opposition,ASC,2,Enter,Tr-Sa,2026-02-18,17:43:37,AWST,28.170,4.217,Aquarius,Dir,5.217,Leo,Dir
Chiron,10,Semi-Square,NorthNode,9,Enter,Tr-Tr,2026-02-18,23:59:15,AWST,28.171,23.583,Aries,Dir,9.583,Pisces,Rx
Pluto,8,Semi-Square,Jupiter,9,Leave,Tr-Sa,2026-02-19,10:22:50,AWST,28.172,4.25,Aquarius,Dir,18.25,Pisces,Rx
Moon,10,Sextile,Uranus,11,Void,Tr-Tr,2026-02-19,23:22:56,AWST,28.174,27.55,Pisces,Dir,27.55,Taurus,Dir
Moon,10,Conjunction,Aries,10,SignIngress,Tr-Tr,2026-02-20,03:39:00,AWST,28.174,0.0,Aries,Dir,0.0,Aries,Dir
Chiron,10,Square,Mercury,7,Leave,Tr-Sa,2026-02-20,03:48:21,AWST,28.174,23.633,Aries,Dir,22.633,Capricorn,Rx
Saturn,10,Conjunction,Neptune,10,Exact,Tr-Tr,2026-02-21,00:53:51,AWST,28.177,0.75,Aries,Dir,0.75,Aries,Dir
Moon,10,Sextile,Mars,9,Void,Tr-Tr,2026-02-21,19:11:17,AWST,28.179,22.8,Aries,Dir,22.8,Aquarius,Dir
Saturn,10,Sesquiquadrate,Chiron,5,Enter,Tr-Sp,2026-02-21,22:13:31,AWST,28.179,0.85,Aries,Dir,16.85,Scorpio,Dir
Moon,11,Conjunction,Taurus,11,SignIngress,Tr-Tr,2026-02-22,07:30:52,AWST,28.180,0.0,Taurus,Dir,0.0,Taurus,Dir
Neptune,10,Sesquiquadrate,Chiron,5,Enter,Tr-Sp,2026-02-24,00:18:25,AWST,28.185,0.85,Aries,Dir,16.85,Scorpio,Dir
Saturn,10,Sextile,Mars,8,Leave,Tr-Na,2026-02-24,00:24:23,AWST,28.185,1.083,Aries,Dir,0.083,Aquarius,Dir
Moon,11,Conjunction,Uranus,11,Void,Tr-Tr,2026-02-24,06:28:40,AWST,28.186,27.633,Taurus,Dir,27.633,Taurus,Dir
Moon,11,Conjunction,Gemini,11,SignIngress,Tr-Tr,2026-02-24,10:28:51,AWST,28.186,0.0,Gemini,Dir,0.0,Gemini,Dir
Jupiter,1,Sextile,NorthNode,3,Enter,Tr-Na,2026-02-24,15:24:53,AWST,28.187,15.433,Cancer,Rx,14.433,Virgo,Rx
Uranus,8,Semi-Square,Mercury,6,Enter,Sp-Na,2026-02-24,19:03:25,AWST,28.187,7.933,Aquarius,Dir,23.933,Sagittarius,Rx
Uranus,11,Trine,Venus,7,Leave,Tr-Sp,2026-02-25,22:19:42,AWST,28.190,27.65,Taurus,Dir,26.65,Capricorn,Rx
NorthNode,9,Semi-Square,Sun,7,Leave,Tr-Sa,2026-02-25,23:48:14,AWST,28.190,9.217,Pisces,Rx,25.217,Capricorn,Dir
NorthNode,9,Semi-Square,Sun,7,Leave,Tr-Sp,2026-02-25,23:48:14,AWST,28.190,9.217,Pisces,Rx,25.217,Capricorn,Dir
Moon,12,Trine,Mars,9,Void,Tr-Tr,2026-02-26,07:00:13,AWST,28.191,26.333,Gemini,Dir,26.333,Aquarius,Dir
Moon,12,Conjunction,Cancer,12,SignIngress,Tr-Tr,2026-02-26,13:11:02,AWST,28.192,0.0,Cancer,Dir,0.0,Cancer,Dir
Jupiter,1,Square,Saturn,10,Enter,Tr-Sp,2026-02-26,15:32:20,AWST,28.192,15.35,Cancer,Rx,14.35,Aries,Dir
Chiron,10,Trine,Mercury,6,Exact,Tr-Na,2026-02-26,22:07:50,AWST,28.193,23.933,Aries,Dir,23.933,Sagittarius,Rx
Moon,3,Sesquiquadrate,Saturn,10,Enter,Sp-Sp,2026-02-27,17:23:55,AWST,28.195,28.35,Leo,Dir,14.35,Aries,Dir
Saturn,10,Sextile,Venus,8,Enter,Tr-Na,2026-02-27,21:23:10,AWST,28.195,1.55,Aries,Dir,2.55,Aquarius,Dir
Jupiter,1,Sesquiquadrate,Venus,9,Leave,Tr-Sa,2026-02-28,12:17:36,AWST,28.197,15.283,Cancer,Rx,1.283,Pisces,Dir
Moon,1,Sextile,Uranus,11,Void,Tr-Tr,2026-02-28,12:21:16,AWST,28.197,27.7,Cancer,Dir,27.7,Taurus,Dir
Moon,2,Conjunction,Leo,2,SignIngress,Tr-Tr,2026-02-28,16:16:37,AWST,28.198,0.0,Leo,Dir,0.0,Leo,Dir
Chiron,10,Semi-Square,NorthNode,9,Exact,Tr-Tr,2026-03-01,08:38:37,AWST,28.199,24.033,Aries,Dir,9.033,Pisces,Rx
Saturn,10,Sesquiquadrate,Chiron,5,Exact,Tr-Sp,2026-03-02,10:41:18,AWST,28.202,1.85,Aries,Dir,16.85,Scorpio,Dir
Neptune,10,Sextile,Mars,8,Leave,Tr-Na,2026-03-02,19:26:50,AWST,28.203,1.083,Aries,Dir,0.083,Aquarius,Dir
Moon,3,Opposition,Mars,9,Void,Tr-Tr,2026-03-02,20:27:19,AWST,28.204,29.933,Leo,Dir,29.933,Aquarius,Dir
Moon,3,Conjunction,Virgo,3,SignIngress,Tr-Tr,2026-03-02,20:33:37,AWST,28.204,0.0,Virgo,Dir,0.0,Virgo,Dir
Moon,3,Quincunx,Neptune,7,Exact,Sp-Na,2026-03-03,01:26:19,AWST,28.204,28.467,Leo,Dir,28.467,Capricorn,Dir
Moon,3,Quincunx,Neptune,8,Enter,Sp-Sp,2026-03-03,16:02:08,AWST,28.206,28.483,Leo,Dir,29.483,Capricorn,Dir
Saturn,10,Sesquiquadrate,Moon,2,Enter,Tr-Na,2026-03-04,14:31:13,AWST,28.208,2.1,Aries,Dir,18.1,Leo,Dir
Moon,4,Trine,Uranus,11,Void,Tr-Tr,2026-03-04,22:52:56,AWST,28.209,27.8,Virgo,Dir,27.8,Taurus,Dir
Moon,4,Conjunction,Libra,4,SignIngress,Tr-Tr,2026-03-05,02:55:43,AWST,28.210,0.0,Libra,Dir,0.0,Libra,Dir
Saturn,10,Conjunction,Neptune,10,Leave,Tr-Tr,2026-03-05,03:40:32,AWST,28.210,2.167,Aries,Dir,1.167,Aries,Dir
Moon,3,Sesquiquadrate,Saturn,10,Exact,Sp-Na,2026-03-05,03:54:37,AWST,28.210,28.533,Leo,Dir,13.533,Aries,Dir
ASC,2,Trine,Pluto,6,Enter,Sa-Na,2026-03-05,10:06:06,AWST,28.211,5.267,Leo,Dir,6.267,Sagittarius,Dir
Chiron,10,Square,Sun,7,Enter,Tr-Sa,2026-03-05,12:41:03,AWST,28.211,24.233,Aries,Dir,25.233,Capricorn,Dir
Chiron,10,Square,Sun,7,Enter,Tr-Sp,2026-03-05,12:41:03,AWST,28.211,24.233,Aries,Dir,25.233,Capricorn,Dir
Uranus,11,Square,Mars,9,Enter,Tr-Sa,2026-03-06,02:03:00,AWST,28.212,27.833,Taurus,Dir,28.833,Aquarius,Dir
Moon,4,Square,Jupiter,1,Void,Tr-Tr,2026-03-06,07:22:14,AWST,28.213,15.117,Libra,Dir,15.117,Cancer,Dir
Moon,5,Conjunction,Scorpio,5,SignIngress,Tr-Tr,2026-03-07,12:01:24,AWST,28.216,0.0,Scorpio,Dir,0.0,Scorpio,Dir
NorthNode,9,Semi-Square,Mercury,7,Enter,Tr-Sa,2026-03-08,03:36:50,AWST,28.218,8.683,Pisces,Rx,22.683,Capricorn,Rx
Saturn,10,Sextile,Venus,8,Exact,Tr-Na,2026-03-08,04:53:55,AWST,28.218,2.55,Aries,Dir,2.55,Aquarius,Dir
Chiron,10,Sextile,Jupiter,9,Enter,Tr-Sp,2026-03-08,21:54:11,AWST,28.220,24.4,Aries,Dir,25.4,Aquarius,Dir
Moon,5,Opposition,Uranus,11,Void,Tr-Tr,2026-03-09,19:28:11,AWST,28.223,27.933,Scorpio,Dir,27.933,Taurus,Dir
Moon,5,Conjunction,Sagittarius,5,SignIngress,Tr-Tr,2026-03-09,23:36:27,AWST,28.223,0.0,Sagittarius,Dir,0.0,Sagittarius,Dir
Saturn,10,Square,Mercury,6,Enter,Tr-Sp,2026-03-10,00:50:28,AWST,28.223,2.767,Aries,Dir,3.767,Capricorn,Dir
Saturn,10,Sesquiquadrate,Chiron,5,Leave,Tr-Sp,2026-03-10,16:57:09,AWST,28.225,2.85,Aries,Dir,16.85,Scorpio,Dir
Chiron,10,Semi-Square,NorthNode,9,Leave,Tr-Tr,2026-03-11,03:23:41,AWST,28.226,24.517,Aries,Dir,8.517,Pisces,Rx
Jupiter,1,Station,,,Direct,Tr,2026-03-11,11:29:48,AWST,28.227,15.083,Cancer,Dir,,,
Moon,6,Square,Sun,9,Void,Tr-Tr,2026-03-11,17:38:27,AWST,28.228,20.817,Sagittarius,Dir,20.817,Pisces,Dir
Moon,6,Conjunction,Capricorn,6,SignIngress,Tr-Tr,2026-03-12,12:07:03,AWST,28.230,0.0,Capricorn,Dir,0.0,Capricorn,Dir
Saturn,10,Sesquiquadrate,Moon,2,Exact,Tr-Na,2026-03-12,19:11:58,AWST,28.231,3.1,Aries,Dir,18.1,Leo,Dir
Moon,7,Trine,Uranus,11,Void,Tr-Tr,2026-03-14,19:33:07,AWST,28.236,28.083,Capricorn,Dir,28.083,Taurus,Dir
Moon,8,Conjunction,Aquarius,8,SignIngress,Tr-Tr,2026-03-14,23:13:26,AWST,28.237,0.0,Aquarius,Dir,0.0,Aquarius,Dir
Neptune,10,Sextile,Venus,8,Enter,Tr-Na,2026-03-15,02:35:01,AWST,28.237,1.55,Aries,Dir,2.55,Aquarius,Dir
Saturn,10,Semi-Square,Jupiter,8,Enter,Tr-Na,2026-03-16,06:56:04,AWST,28.240,3.533,Aries,Dir,19.533,Aquarius,Dir
Saturn,10,Sextile,Venus,8,Leave,Tr-Na,2026-03-16,07:51:55,AWST,28.240,3.55,Aries,Dir,2.55,Aquarius,Dir
NorthNode,9,Square,Pluto,6,Enter,Tr-Sp,2026-03-16,18:41:49,AWST,28.242,8.217,Pisces,Rx,7.217,Sagittarius,Dir
MC,10,Sesquiquadrate,Pluto,6,Enter,Sa-Na,2026-03-16,20:32:43,AWST,28.242,20.267,Aries,Dir,6.267,Sagittarius,Dir
MC,10,Sesquiquadrate,Pluto,6,Enter,Sp-Na,2026-03-16,20:32:43,AWST,28.242,20.267,Aries,Dir,6.267,Sagittarius,Dir
Moon,9,Square,Uranus,11,Void,Tr-Tr,2026-03-17,03:56:39,AWST,28.243,28.167,Aquarius,Dir,28.167,Taurus,Dir
Moon,9,Conjunction,Pisces,9,SignIngress,Tr-Tr,2026-03-17,07:15:35,AWST,28.243,0.0,Pisces,Dir,0.0,Pisces,Dir
Saturn,10,Square,Mercury,6,Exact,Tr-Sp,2026-03-18,08:54:58,AWST,28.246,3.8,Aries,Dir,3.8,Capricorn,Dir
Chiron,10,Trine,Mercury,6,Leave,Tr-Na,2026-03-18,18:04:25,AWST,28.247,24.933,Aries,Dir,23.933,Sagittarius,Rx
Uranus,11,Sesquiquadrate,NorthNode,4,Exact,Tr-Sa,2026-03-18,18:58:07,AWST,28.247,28.217,Taurus,Dir,13.217,Libra,Rx
Moon,10,Conjunction,Sun,10,Void,Tr-Tr,2026-03-19,09:23:25,AWST,28.249,28.45,Pisces,Dir,28.45,Pisces,Dir
Uranus,11,Square,Neptune,9,Leave,Tr-Sa,2026-03-19,10:53:54,AWST,28.249,28.25,Taurus,Dir,27.25,Aquarius,Dir
Moon,10,Conjunction,Aries,10,SignIngress,Tr-Tr,2026-03-19,12:02:55,AWST,28.249,0.0,Aries,Dir,0.0,Aries,Dir
Saturn,10,Sextile,Pluto,8,Enter,Tr-Tr,2026-03-19,18:32:23,AWST,28.250,3.967,Aries,Dir,4.967,Aquarius,Dir
Saturn,10,Square,Pluto,6,Enter,Tr-Sa,2026-03-20,09:56:42,AWST,28.252,4.05,Aries,Dir,5.05,Capricorn,Dir
Moon,10,Conjunction,Venus,10,Void,Tr-Tr,2026-03-20,17:23:16,AWST,28.252,17.3,Aries,Dir,17.3,Aries,Dir
